Data ID,STATUS,SIZE,FUEL,DISTANCE,DESIBEL,AIRFLOW,FREQUENCY
1,Non-extinction,1,1,10,96,0,75
2,Extinction,1,1,10,96,0,72
3,Extinction,1,1,10,96,2.6,70
4,Extinction,1,1,10,96,3.2,68
5,Extinction,1,1,10,109,4.5,67
6,Extinction,1,1,10,109,7.8,66
7,Extinction,1,1,10,103,9.7,65
8,Extinction,1,1,10,95,12,60
9,Extinction,1,1,10,102,13.3,55
10,Extinction,1,1,10,93,15.4,52
11,Extinction,1,1,10,93,15.1,51
12,Extinction,1,1,10,95,15.2,50
13,Extinction,1,1,10,110,15.4,48
14,Extinction,1,1,10,111,15.2,47
15,Extinction,1,1,10,109,15.4,46
16,Extinction,1,1,10,105,15.2,45
17,Extinction,1,1,10,111,16,44
18,Extinction,1,1,10,110,15.7,42
19,Extinction,1,1,10,106,15.4,40
20,Extinction,1,1,10,111,15.5,38
21,Extinction,1,1,10,110,15.2,36
22,Extinction,1,1,10,103,14.9,35
23,Extinction,1,1,10,109,14.9,34
24,Extinction,1,1,10,108,14.9,33
25,Extinction,1,1,10,110,15.1,32
26,Extinction,1,1,10,109,17,30
27,Extinction,1,1,10,108,15.5,28
28,Extinction,1,1,10,108,15.4,27
29,Extinction,1,1,10,107,15.5,26
30,Extinction,1,1,10,109,16.6,25
31,Extinction,1,1,10,108,15.2,24
32,Extinction,1,1,10,108,15.4,23
33,Extinction,1,1,10,108,15.4,22
34,Extinction,1,1,10,109,15.2,21
35,Extinction,1,1,10,108,15.7,20
36,Extinction,1,1,10,108,15.2,19
37,Extinction,1,1,10,106,15.1,18
38,Extinction,1,1,10,105,14.5,17
39,Extinction,1,1,10,105,13.8,16
40,Extinction,1,1,10,106,14.4,15
41,Extinction,1,1,10,106,12.3,14
42,Extinction,1,1,10,93,11.9,13
43,Extinction,1,1,10,90,11.9,12
44,Extinction,1,1,10,92,12.5,11
45,Extinction,1,1,10,105,13.8,10
46,Extinction,1,1,10,91,12.9,9
47,Extinction,1,1,10,105,12.9,8
48,Extinction,1,1,10,105,12.3,7
49,Extinction,1,1,10,90,11.8,6
50,Extinction,1,1,10,90,11,5
51,Extinction,1,1,10,88,8.8,4
52,Extinction,1,1,10,85,6,3
53,Extinction,1,1,10,83,3.1,2
54,Extinction,1,1,10,75,0.8,1
55,Non-extinction,1,1,20,96,0,75
56,Non-extinction,1,1,20,96,0,72
57,Extinction,1,1,20,103,1,70
58,Extinction,1,1,20,107,1.1,68
59,Extinction,1,1,20,96,4,67
60,Extinction,1,1,20,105,6.5,66
61,Extinction,1,1,20,104,7.5,65
62,Extinction,1,1,20,95,9,60
63,Extinction,1,1,20,103,12,55
64,Extinction,1,1,20,110,15,52
65,Extinction,1,1,20,112,14.6,51
66,Extinction,1,1,20,113,15.2,50
67,Extinction,1,1,20,111,14.9,48
68,Extinction,1,1,20,110,15.5,47
69,Extinction,1,1,20,95,16,46
70,Extinction,1,1,20,95,16.3,45
71,Extinction,1,1,20,92,16,44
72,Extinction,1,1,20,92,16,42
73,Extinction,1,1,20,104,15.5,40
74,Extinction,1,1,20,90,15.2,38
75,Extinction,1,1,20,90,15.2,36
76,Extinction,1,1,20,91,15,35
77,Extinction,1,1,20,108,15.2,34
78,Extinction,1,1,20,108,14.8,33
79,Extinction,1,1,20,90,14.1,32
80,Extinction,1,1,20,105,13.5,30
81,Extinction,1,1,20,92,13.3,28
82,Extinction,1,1,20,88,13.3,27
83,Extinction,1,1,20,106,12.8,26
84,Extinction,1,1,20,106,13.8,25
85,Extinction,1,1,20,106,13.3,24
86,Extinction,1,1,20,92,13.8,23
87,Extinction,1,1,20,91,13.6,22
88,Extinction,1,1,20,92,13.2,21
89,Extinction,1,1,20,106,13.2,20
90,Extinction,1,1,20,92,13.5,19
91,Extinction,1,1,20,90,13.2,18
92,Extinction,1,1,20,89,12.8,17
93,Extinction,1,1,20,92,12.3,16
94,Extinction,1,1,20,105,12.3,15
95,Extinction,1,1,20,93,11.5,14
96,Extinction,1,1,20,91,11.2,13
97,Extinction,1,1,20,91,11.9,12
98,Extinction,1,1,20,91,11.5,11
99,Extinction,1,1,20,105,12.3,10
100,Extinction,1,1,20,92,12,9
101,Extinction,1,1,20,91,12.2,8
102,Extinction,1,1,20,90,11.5,7
103,Extinction,1,1,20,90,11,6
104,Extinction,1,1,20,100,9.6,5
105,Extinction,1,1,20,87,7.8,4
106,Extinction,1,1,20,80,5,3
107,Extinction,1,1,20,78,3.7,2
108,Non-extinction,1,1,20,76,1,1
109,Non-extinction,1,1,30,106,0,75
110,Non-extinction,1,1,30,96,0,72
111,Extinction,1,1,30,101,0.4,70
112,Extinction,1,1,30,104,0.4,68
113,Extinction,1,1,30,96,2.2,67
114,Extinction,1,1,30,101,5,66
115,Extinction,1,1,30,103,7,65
116,Extinction,1,1,30,95,6.5,60
117,Extinction,1,1,30,103,14.4,55
118,Extinction,1,1,30,107,13.3,52
119,Extinction,1,1,30,107,13.8,51
120,Extinction,1,1,30,106,14.8,50
121,Extinction,1,1,30,109,15.4,48
122,Extinction,1,1,30,111,15.5,47
123,Extinction,1,1,30,112,16,46
124,Extinction,1,1,30,110,16,45
125,Extinction,1,1,30,111,16.3,44
126,Extinction,1,1,30,110,16.1,42
127,Extinction,1,1,30,110,15.2,40
128,Extinction,1,1,30,110,15.2,38
129,Extinction,1,1,30,110,14.8,36
130,Extinction,1,1,30,108,14.4,35
131,Extinction,1,1,30,108,14.2,34
132,Extinction,1,1,30,92,13.2,33
133,Extinction,1,1,30,89,14.2,32
134,Extinction,1,1,30,89,13.5,30
135,Extinction,1,1,30,89,12.3,28
136,Extinction,1,1,30,90,12,27
137,Extinction,1,1,30,92,12.5,26
138,Extinction,1,1,30,108,11.5,25
139,Extinction,1,1,30,107,12.3,24
140,Extinction,1,1,30,106,11.5,23
141,Extinction,1,1,30,88,11.9,22
142,Extinction,1,1,30,87,12,21
143,Extinction,1,1,30,106,11.5,20
144,Extinction,1,1,30,87,12.3,19
145,Extinction,1,1,30,86,11.6,18
146,Extinction,1,1,30,85,11,17
147,Extinction,1,1,30,89,10.9,16
148,Extinction,1,1,30,90,10.3,15
149,Extinction,1,1,30,89,10.7,14
150,Extinction,1,1,30,86,10,13
151,Extinction,1,1,30,85,10.7,12
152,Extinction,1,1,30,92,10.9,11
153,Extinction,1,1,30,90,12,10
154,Extinction,1,1,30,97,11.8,9
155,Extinction,1,1,30,92,11.3,8
156,Extinction,1,1,30,89,11.3,7
157,Extinction,1,1,30,87,11,6
158,Extinction,1,1,30,88,10.2,5
159,Extinction,1,1,30,87,9.2,4
160,Extinction,1,1,30,86,7.4,3
161,Extinction,1,1,30,78,4.5,2
162,Non-extinction,1,1,30,75,0,1
163,Non-extinction,1,1,40,104,0,75
164,Non-extinction,1,1,40,96,0,72
165,Non-extinction,1,1,40,96,0,70
166,Non-extinction,1,1,40,96,0,68
167,Extinction,1,1,40,96,1.3,67
168,Extinction,1,1,40,101,3.2,66
169,Extinction,1,1,40,102,4.5,65
170,Extinction,1,1,40,106,12.3,60
171,Extinction,1,1,40,107,9.2,55
172,Extinction,1,1,40,108,13.9,52
173,Extinction,1,1,40,94,13.9,51
174,Extinction,1,1,40,93,13.5,50
175,Extinction,1,1,40,93,14.5,48
176,Extinction,1,1,40,107,14.4,47
177,Extinction,1,1,40,107,14.5,46
178,Extinction,1,1,40,107,14.9,45
179,Extinction,1,1,40,107,15.2,44
180,Extinction,1,1,40,107,15.2,42
181,Extinction,1,1,40,108,14.8,40
182,Extinction,1,1,40,110,14.4,38
183,Extinction,1,1,40,110,14.4,36
184,Extinction,1,1,40,109,14.9,35
185,Extinction,1,1,40,107,14.4,34
186,Extinction,1,1,40,108,14.4,33
187,Extinction,1,1,40,106,14.5,32
188,Extinction,1,1,40,91,14.9,30
189,Extinction,1,1,40,92,14.1,28
190,Extinction,1,1,40,93,14.4,27
191,Extinction,1,1,40,106,13.5,26
192,Extinction,1,1,40,92,13.5,25
193,Extinction,1,1,40,90,12.5,24
194,Extinction,1,1,40,90,12.3,23
195,Extinction,1,1,40,87,13.2,22
196,Extinction,1,1,40,89,13.1,21
197,Extinction,1,1,40,90,12.3,20
198,Extinction,1,1,40,88,12,19
199,Extinction,1,1,40,86,11.5,18
200,Extinction,1,1,40,85,11.3,17
201,Extinction,1,1,40,92,11.5,16
202,Extinction,1,1,40,91,10.4,15
203,Extinction,1,1,40,89,10.9,14
204,Extinction,1,1,40,87,10,13
205,Extinction,1,1,40,90,10,12
206,Extinction,1,1,40,91,10.3,11
207,Extinction,1,1,40,90,10,10
208,Extinction,1,1,40,91,11.3,9
209,Extinction,1,1,40,91,11.5,8
210,Extinction,1,1,40,90,11,7
211,Extinction,1,1,40,87,11.2,6
212,Extinction,1,1,40,86,10,5
213,Extinction,1,1,40,85,9.2,4
214,Extinction,1,1,40,86,7.4,3
215,Extinction,1,1,40,80,4.5,2
216,Non-extinction,1,1,40,75,0,1
217,Non-extinction,1,1,50,95,0,75
218,Non-extinction,1,1,50,96,0,72
219,Non-extinction,1,1,50,96,0,70
220,Non-extinction,1,1,50,101,0,68
221,Non-extinction,1,1,50,101,0,67
222,Extinction,1,1,50,100,2.8,66
223,Extinction,1,1,50,104,4,65
224,Extinction,1,1,50,106,11.2,60
225,Extinction,1,1,50,94,6.4,55
226,Extinction,1,1,50,108,13.2,52
